Adventures of Huckleberry Finn,Mark Twain,Fiction,EN,Berlin
Atomised,Michel Houellebecq,Fiction,EN,Berlin
The Headmaster's Wager,Vincent Lam,Fiction,EN,Berlin
Americanah,Chimamanda Ngozi Adichie,Fiction,EN,Berlin
Austerlitz,W.G. Sebald,Fiction,EN,Berlin
100 años de soledad,Gabriel Garcia Marquez,Fiction,ES,Berlin
Bonsái Alejandro Zambra,Alejandro Zambra,Fiction,ES,Berlin
Dos Mujeres en Praga,Juan José Millás,Fiction,ES,Berlin
El lobo estepario,Herman Hesse,Fiction,ES,Berlin
Hija de la Fortuna,Isabel Allende,Fiction,ES,Berlin
Kafka en la orilla,Haruki Murakami,Fiction,ES,Berlin
La literatura nazi en América,Roberto Bolaño,Fiction,ES,Berlin
La Tregua,Mario Benedetti,Fiction,ES,Berlin
La Vorágine,José Estasio Ribera,Fiction,ES,Berlin
Las Partículas Elementales,Michel Houellebecq,Fiction,ES,Berlin
Nana,Chuck Palahniuk,Fiction,ES,Berlin
Pulp,Charles Bukowski,Fiction,ES,Berlin
Superviviente,Chuck Palahniuk,Fiction,ES,Berlin
The Poisonwood Bible,Barbara Kingsolver,Fiction,ES,Berlin
Les Trois Mousquetaires,Alexandre Dumas,Fiction,FR,Berlin
L'insoutenable legerete de l'etre,Milan Kundera,Fiction,FR,Berlin
Miedzy ustami a brzegium puchara,Maria Rodziewiczowna,Fiction,PL,Berlin
Nigdy w zyciu!,Katarzyna Grochola,Fiction,PL,Berlin
Osobowosc cmy,Katarzyna Grochola,Fiction,PL,Berlin
Paw Krolowej,Dorota Maslowska,Fiction,PL,Berlin
Wielki Diament,Joanna Chmielewski,Fiction,PL,Berlin
Uzun Sürmüş Bir Günün Akşamı,Bilge Karasu,Fiction,"TR
",Berlin
"Danaburnu
",Oktay Rıfat,Fiction,"TR
",Berlin
The Hero with a thousand faces,Joseph Campbell,Film,EN,Berlin
The hero with a thousand faces,Joseph campbell,Film,EN,Berlin
The hitchcock annual Anthology,Multiple film critics,Film,EN,Berlin
The Arrival,Shaun Tan,Graphic novel,-,Berlin
Lip: des héros ordinaires,Laurent Galandon & Damien Vidal,Graphic novel,FR,Berlin
Eine frau in Berlin,Anonyma,Historical fiction,DE,Berlin
Hitlers geheime diplomatin,Martha schad,Historical fiction,DE,Berlin
A Woman in Berlin,Anonyma,Historical fiction,EN,Berlin
Imperium,Robert harris,Historical fiction,EN,Berlin
Mistletoe and murder,Carola Dunn,Historical fiction,EN,Berlin
Ben Hur: a tale of the christ,Lew Wallace,Historical novel,DE,Berlin
"Quilmes, 246 anos y un bicentenario",Various Authors,Historical novel,ES,Berlin
1000 tage die die welt bewegten,"Lothar Berndorff, Tobias Friedrich",History,DE,Berlin
1913 der sommer des jahrhunderts,Florian Illies,History,DE,Berlin
Der 17 Juni 1953,Volker Knoop,History,DE,Berlin
Die päpstin,Donna W. Cross,History,DE,Berlin
Sternstunden der menschheit,Stefan Zweig,History,DE,Berlin
"Über lebenskunst: Utopien nach der krise
","Narbutovic, Stemmler",History,DE,Berlin
Welt- und kulturgeschichte,Die Zeit,History,DE,Berlin
Wirtschaft und demokratie,Marion Gräfin dönhoff,History,DE,Berlin
A history of civilizations,Fernand Braudel,History,EN,Berlin
A russian diary,Anna politkovskaya,History,EN,Berlin
Alone in Berlin,Hans Fallada,History,EN,Berlin 
Revolutionary iran michael axworthy,Michael Axworthy,History,EN,Berlin
Revolutionary Iran: A history of the islamic republic,Michael Axwworthy,History,EN,Berlin
Stasiland,Anna Funder,History,EN,Berlin
The arabs and the holocaust,Gilbert achar,History,EN,Berlin
The ascent of money - a financial history of the world,Niall Ferguson,History,EN,Berlin
The End of History and the Last Man,Francis Fukuyama,History,EN,Berlin
The houses of History,Green and troup,History,EN,Berlin
The Pol Pot Regime,Ben Kiernan,History,EN,Berlin
Breve Historia de Alemania,Hagen Schulze,History,ES,Berlin
Apres l'empire,Emmanuel Todd,History,FR,Berlin
Historia Polski 1 ( do 1864 Roku),Maria Bogucka,History,PL,Berlin
Historia Polski 2 ( 1864- 2001),Antoni Czubinski,History,PL,Berlin
Sacharow stellungnahme,Andrei Dimitrijewitsch,Human rights,DE,Berlin
Gebrauchsanleitung Mensch,Paul Hawkins,Humour,DE,Berlin 
Ich bin Kein Berliner,Vladamir Kaminer,Humour,DE,Berlin 
Guards Guards,Terry Pratchett,Humour,EN,Berlin 
"LAMB (The Gospel According to Biff, Christ's Childhood Pal",Christopher Moore,Humour,EN,Berlin 
The Brain-dead Megaphone,George Saunders,Humour,EN,Berlin 
The Brief and Frightening Reign of Phil,George Saunders,Humour,EN,Berlin 
The Psycopath Test,Jon Ronson,Humour,EN,Berlin 
The Sisters Brothers,Patrick de Witt,Humour,EN,Berlin 
Turkish Berlin,Annika Marie Hinze,Integration Policy and Urban Space,EN,Berlin
Energy diplomacy,Stanislav Zhiznin,International Relations,EN,Berlin
Theorien des internet,Martin Warnke,Internet,DE,Berlin
Latticework,Robert G. Hagstrom,Investing,EN,Berlin
 Die Mittelstuffe B2/2,Studio D,Language course,DE,Berlin
Abschlusskurs: Kursbuch + Arbeitsbuch C1,EM Neu,Language course,DE,Berlin
Berliner Platz 1 (Niveau A1),Langenscheidt,Language Course,DE,Berlin
Mittelstufe Deutsch: Lehr- und arbeitsbuch teil 1 B2,Aspekte,Language course,DE,Berlin
Kein panik vor thermodynamik,"Dirk labuhnm, Oliver Romberg",Lehrbuch,DE,Berlin
Manage your day-to-day,99y,Management,EN,Berlin
Small Business Survival,Kevin Duncan,Management,EN,Berlin
Before happiness,Shawn Achor,Management,EN,Berlin
